date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2022-12-29,238.18,241.83,238.18,240.62,239.2543,975225,0.0,1.0,1.1646,ADP
2022-12-29,68.16,68.475,68.03,68.1,67.1191,2578973,0.0,1.0,0.7993,AZN
2022-12-29,28.52,29.44,28.48,29.18,29.0043,3719511,0.0,1.0,2.2067,BKR
2022-12-29,551.85,562.6,550.5006,557.81,553.8092,1817606,0.0,1.0,2.3711,AVGO
2022-12-29,274.83,279.14,274.3,276.0,276.0,594085,0.0,1.0,0.7152,BIIB
2022-12-29,101.87,103.45,101.67,102.44,102.44,794578,0.0,1.0,0.688,BMRN
2022-12-29,1984.8,2013.07,1974.58,2003.51,2003.51,206694,0.0,1.0,2.2804,BKNG
2022-12-29,159.59,163.18,159.4,161.93,161.93,771608,0.0,1.0,2.2673,CDNS
2022-12-29,336.58,342.105,333.8,338.94,338.94,1289728,0.0,1.0,1.9859,CHTR
2022-12-29,60.55,61.565,60.475,61.23,61.23,1336976,0.0,1.0,2.1181,CPRT
2022-12-29,76.7,78.05,76.5,77.67,77.67,1169896,0.0,1.0,2.1302,CSGP
2022-12-29,101.43,105.51,100.47,104.57,104.57,3142797,0.0,1.0,4.6118,CRWD
2022-12-29,454.25,459.34,453.5,456.95,455.767,252485,0.0,1.0,1.3103,CTAS
2022-12-29,47.26,47.74,47.26,47.5,46.7714,11396466,0.0,1.0,0.9135,CSCO
2022-12-29,34.81,35.35,34.7,35.05,34.5209,12578249,0.0,1.0,1.2421,CMCSA
2022-12-29,455.63,459.0,453.46,456.53,455.7464,1464967,0.0,1.0,0.7815,COST
2022-12-29,31.06,31.36,30.98,31.24,31.1287,5542879,0.0,1.0,1.297,CSX
2022-12-29,56.21,57.36,56.06,57.13,56.8814,7796593,0.0,1.0,2.7888,CTSH
2022-12-29,70.48,74.18,70.03,73.94,73.94,3279410,0.0,1.0,5.8706,DDOG
2022-12-29,110.92,113.355,109.72,112.07,112.07,1285974,0.0,1.0,2.0953,DXCM
2022-12-29,132.97,137.18,132.51,136.28,133.5472,1406427,0.0,1.0,1.346,FANG
2022-12-29,142.18,143.95,141.74,142.99,142.99,856080,0.0,1.0,1.0244,DLTR
2022-12-29,120.12,122.9,119.42,122.19,121.9811,1222850,0.0,1.0,2.2168,EA
2022-12-29,40.27,41.92,40.07,41.82,41.578,6385433,0.0,1.0,4.7595,EBAY
2022-12-29,271.92,274.44,264.14,265.49,265.49,3300660,0.0,1.0,-0.7069,ENPH
2022-12-29,43.17,43.46,43.04,43.13,42.7575,3207501,0.0,1.0,0.4425,EXC
2022-12-29,47.25,47.81,47.08,47.56,47.2414,2582261,0.0,1.0,1.5371,FAST
2022-12-29,52.94,54.17,52.55,53.81,53.81,1191541,0.0,1.0,2.9069,GFS
2022-12-29,70.48,74.18,70.03,73.94,73.94,3279410,0.0,1.0,5.8706,DDOG
2022-12-29,110.92,113.355,109.72,112.07,112.07,1285974,0.0,1.0,2.0953,DXCM
2022-12-29,132.97,137.18,132.51,136.28,133.5472,1406427,0.0,1.0,1.346,FANG
2022-12-29,142.18,143.95,141.74,142.99,142.99,856080,0.0,1.0,1.0244,DLTR
2022-12-29,120.12,122.9,119.42,122.19,121.9811,1222850,0.0,1.0,2.2168,EA
2022-12-29,40.27,41.92,40.07,41.82,41.578,6385433,0.0,1.0,4.7595,EBAY
2022-12-29,271.92,274.44,264.14,265.49,265.49,3300660,0.0,1.0,-0.7069,ENPH
2022-12-29,43.17,43.46,43.04,43.13,42.7575,3207501,0.0,1.0,0.4425,EXC
