date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-03-27,214.95,216.31,214.1,214.36,214.36,1627097,0.0,1.0,0.1074,ADP
2023-03-27,68.9,69.265,68.61,68.73,68.73,5752774,0.0,1.0,1.2075,AZN
2023-03-27,27.22,27.525,26.91,27.26,27.26,7690502,0.0,1.0,0.8882,BKR
2023-03-27,639.0,639.1,625.99,626.84,626.84,1470884,0.0,1.0,-1.4666,AVGO
2023-03-27,270.805,272.425,269.48,269.98,269.98,607891,0.0,1.0,-0.0185,BIIB
2023-03-27,91.5,92.1018,91.1,91.5,91.5,1078411,0.0,1.0,0.8376,BMRN
2023-03-27,2525.0,2542.8,2504.48,2508.31,2508.31,246464,0.0,1.0,0.3593,BKNG
2023-03-27,204.48,206.29,203.55,205.27,205.27,1400322,0.0,1.0,0.3863,CDNS
2023-03-27,346.98,349.87,344.92,348.36,348.36,768108,0.0,1.0,1.2822,CHTR
2023-03-27,71.72,72.8,71.6,72.73,72.73,2388630,0.0,1.0,1.82,CPRT
2023-03-27,67.87,68.245,67.17,67.88,67.88,3105949,0.0,1.0,1.1022,CSGP
2023-03-27,131.92,133.2441,130.29,131.39,131.39,2562912,0.0,1.0,-0.114,CRWD
2023-03-27,437.63,441.73,437.105,440.68,440.68,266268,0.0,1.0,0.9923,CTAS
2023-03-27,50.7,50.95,50.48,50.54,50.1625,15857214,0.0,1.0,0.0594,CSCO
2023-03-27,36.18,36.615,36.17,36.4,36.1226,16333786,0.0,1.0,1.3363,CMCSA
2023-03-27,497.28,499.8577,492.51,493.22,493.22,1452077,0.0,1.0,-0.4139,COST
2023-03-27,28.43,28.88,28.28,28.75,28.75,11472360,0.0,1.0,1.7699,CSX
2023-03-27,59.0,59.49,58.805,59.01,59.01,3136010,0.0,1.0,0.6138,CTSH
2023-03-27,65.745,67.1999,65.34,65.6,65.6,3825247,0.0,1.0,0.5518,DDOG
2023-03-27,115.75,117.95,115.04,116.07,116.07,1571478,0.0,1.0,1.7355,DXCM
2023-03-27,126.49,129.34,125.41,128.56,128.56,1742841,0.0,1.0,2.5036,FANG
2023-03-27,138.63,139.72,137.97,138.73,138.73,2015576,0.0,1.0,0.9753,DLTR
2023-03-27,118.9,119.4,118.14,118.64,118.64,2276492,0.0,1.0,-0.3276,EA
