date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-04-11,214.34,215.46,213.29,215.21,215.21,1370777,0.0,1.0,0.4621,ADP
2023-04-11,72.4,72.5,72.065,72.18,72.18,2931206,0.0,1.0,0.1526,AZN
2023-04-11,28.9,29.42,28.56,29.15,29.15,4545698,0.0,1.0,1.11,BKR
2023-04-11,630.78,630.88,620.82,621.57,621.57,1651762,0.0,1.0,-0.9277,AVGO
2023-04-11,283.32,285.47,282.485,283.69,283.69,556082,0.0,1.0,0.2934,BIIB
2023-04-11,98.06,98.82,97.48,97.84,97.84,1026892,0.0,1.0,-0.2142,BMRN
2023-04-11,2581.81,2588.68,2561.06,2566.47,2566.47,236784,0.0,1.0,-0.2371,BKNG
2023-04-11,212.46,214.95,212.36,213.89,213.89,1530415,0.0,1.0,0.1311,CDNS
2023-04-11,354.87,359.76,353.43,358.52,358.52,957613,0.0,1.0,1.3083,CHTR
2023-04-11,75.27,75.83,75.09,75.74,75.74,1635278,0.0,1.0,1.0271,CPRT
2023-04-11,69.23,69.38,68.3,68.8,68.8,1116617,0.0,1.0,-0.0291,CSGP
2023-04-11,127.54,131.72,127.27,129.86,129.86,4014664,0.0,1.0,1.3739,CRWD
2023-04-11,453.04,455.03,449.4,450.26,450.26,334626,0.0,1.0,0.0556,CTAS
2023-04-11,51.12,51.3,50.52,50.62,50.62,15957903,0.0,1.0,-1.3832,CSCO
2023-04-11,38.33,38.69,38.28,38.38,38.38,14214857,0.0,1.0,0.3924,CMCSA
2023-04-11,493.83,499.99,493.0,498.65,498.65,1547381,0.0,1.0,0.976,COST
2023-04-11,30.08,30.4291,30.08,30.31,30.31,13468402,0.0,1.0,1.067,CSX
2023-04-11,61.04,62.0,60.915,61.69,61.69,1865074,0.0,1.0,0.9491,CTSH
2023-04-11,64.76,66.155,63.955,64.85,64.85,5628900,0.0,1.0,-1.9504,DDOG
2023-04-11,112.0,115.12,111.97,115.04,115.04,1826003,0.0,1.0,2.2305,DXCM
