date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-01-03,240.79,241.51,235.27,237.66,236.3111,1749813,0.0,1.0,-0.5024,ADP
2023-01-03,68.65,69.43,68.6,69.33,68.3314,3474054,0.0,1.0,2.2566,AZN
2023-01-03,29.34,30.04,28.55,28.75,28.5769,6551048,0.0,1.0,-2.6414,BKR
2023-01-03,565.0,567.57,550.79,553.48,549.5102,2017314,0.0,1.0,-1.0105,AVGO
2023-01-03,276.73,278.0,272.39,272.63,272.63,1090503,0.0,1.0,-1.5492,BIIB
2023-01-03,103.0,103.325,100.52,100.61,100.61,1325481,0.0,1.0,-2.7829,BMRN
2023-01-03,2038.83,2049.0,2005.57,2032.21,2032.21,266999,0.0,1.0,0.8401,BKNG
2023-01-03,162.83,163.9999,157.495,159.64,159.64,992792,0.0,1.0,-0.6225,CDNS
2023-01-03,342.06,345.53,337.18,341.58,341.58,1524126,0.0,1.0,0.7313,CHTR
2023-01-03,61.41,62.075,60.765,61.46,61.46,1838138,0.0,1.0,0.9361,CPRT
2023-01-03,78.29,78.63,76.59,77.65,77.65,1277332,0.0,1.0,0.4788,CSGP
2023-01-03,107.5,108.46,101.717,103.28,103.28,3447539,0.0,1.0,-1.909,CRWD
2023-01-03,453.93,454.91,445.9945,448.99,447.8277,306554,0.0,1.0,-0.5823,CTAS
2023-01-03,47.86,48.05,47.31,47.94,47.2047,17718894,0.0,1.0,0.6297,CSCO
2023-01-03,34.94,35.59,34.74,35.57,35.299,23175283,0.27,1.0,1.7158,CMCSA
2023-01-03,458.0,458.8,447.9,453.28,452.502,1978075,0.0,1.0,-0.7054,COST
2023-01-03,31.08,31.17,30.55,30.88,30.77,8329505,0.0,1.0,-0.3228,CSX
2023-01-03,57.64,58.1,57.06,57.59,57.3394,2635843,0.0,1.0,0.6994,CTSH
2023-01-03,75.195,76.6,70.45,72.09,72.09,3551008,0.0,1.0,-1.9184,DDOG
2023-01-03,114.3,116.16,112.61,114.73,114.73,2061888,0.0,1.0,1.3158,DXCM
2023-01-03,134.97,136.32,129.61,131.38,128.7454,2406481,0.0,1.0,-3.9479,FANG
2023-01-03,141.62,143.06,139.76,140.26,140.26,2142445,0.0,1.0,-0.8343,DLTR
2023-01-03,123.59,124.7,122.32,122.8,122.59,1677800,0.0,1.0,0.5074,EA
2023-01-03,42.078,42.6612,41.54,42.15,41.9061,4494932,0.0,1.0,1.6397,EBAY
2023-01-03,269.17,271.72,250.51,253.31,253.31,3091412,0.0,1.0,-4.3969,ENPH
2023-01-03,43.25,43.35,42.425,43.16,42.7872,5156717,0.0,1.0,-0.1619,EXC
2023-01-03,47.62,47.69,46.86,47.4,47.0825,3379117,0.0,1.0,0.1691,FAST
2023-01-03,53.93,54.11,50.4,51.7,51.7,2295737,0.0,1.0,-4.0638,GFS
2023-01-03,75.195,76.6,70.45,72.09,72.09,3551008,0.0,1.0,-1.9184,DDOG
2023-01-03,114.3,116.16,112.61,114.73,114.73,2061888,0.0,1.0,1.3158,DXCM
2023-01-03,134.97,136.32,129.61,131.38,128.7454,2406481,0.0,1.0,-3.9479,FANG
2023-01-03,141.62,143.06,139.76,140.26,140.26,2142445,0.0,1.0,-0.8343,DLTR
2023-01-03,123.59,124.7,122.32,122.8,122.59,1677800,0.0,1.0,0.5074,EA
2023-01-03,42.078,42.6612,41.54,42.15,41.9061,4494932,0.0,1.0,1.6397,EBAY
2023-01-03,269.17,271.72,250.51,253.31,253.31,3091412,0.0,1.0,-4.3969,ENPH
2023-01-03,43.25,43.35,42.425,43.16,42.7872,5156717,0.0,1.0,-0.1619,EXC
2023-01-03,47.62,47.69,46.86,47.4,47.0825,3379117,0.0,1.0,0.1691,FAST
2023-01-03,53.93,54.11,50.4,51.7,51.7,2295737,0.0,1.0,-4.0638,GFS
2023-01-03,122.82,126.37,122.28,124.74,124.74,35528531,0.0,1.0,3.6563,META
2023-01-03,101.72,102.7017,100.4,101.21,101.21,2269280,0.0,1.0,0.1385,FISV
2023-01-03,49.53,50.25,48.015,48.52,48.52,4647541,0.0,1.0,-0.7568,FTNT
2023-01-03,85.08,86.145,84.83,85.39,84.5946,6050632,0.0,1.0,-0.5358,GILD
2023-01-03,89.83,91.55,89.02,89.7,89.7,20738457,0.0,1.0,1.0932,GOOG
2023-01-03,89.585,91.05,88.52,89.12,89.12,28131224,0.0,1.0,1.0087,GOOGL
2023-01-03,215.15,215.15,212.22,214.3,213.1741,2219496,0.0,1.0,0.0,HON
2023-01-03,204.93,206.31,198.85,200.87,200.87,912448,0.0,1.0,-0.6578,ILMN
2023-01-03,27.045,27.07,26.37,26.73,26.3942,31307955,0.0,1.0,1.1351,INTC
2023-01-03,396.7,404.45,385.22,391.18,389.7293,1874001,0.0,1.0,0.5036,INTU
2023-01-03,269.59,270.89,263.67,265.63,265.63,1391916,0.0,1.0,0.1055,ISRG
2023-01-03,37.91,38.2,35.775,35.99,35.8742,10336698,0.0,1.0,-2.8348,MRVL
2023-01-03,409.92,420.135,399.27,406.01,406.01,394542,0.0,1.0,-0.478,IDXX
2023-01-03,57.97,59.57,56.87,57.64,56.7709,7337674,0.0,1.0,2.6902,JD
2023-01-03,35.65,35.71,35.15,35.55,35.1496,6040460,0.0,1.0,-0.3085,KDP
2023-01-03,384.0,384.74,372.58,376.55,375.3169,764064,0.0,1.0,-0.1273,KLAC
2023-01-03,40.53,40.855,40.285,40.78,40.3529,5748995,0.0,1.0,0.1719,KHC
2023-01-03,429.72,430.1,407.2719,414.3,412.8583,1324875,0.0,1.0,-1.4276,LRCX
2023-01-03,6.97,7.07,6.14,6.17,6.17,31442213,0.0,1.0,-9.6633,LCID
2023-01-03,326.88,327.34,319.46,323.38,323.38,1304955,0.0,1.0,0.9364,LULU
2023-01-03,867.58,874.06,815.855,826.11,826.11,775461,0.0,1.0,-2.3788,MELI
2023-01-03,149.85,150.73,147.1,147.75,147.4071,1686198,0.0,1.0,-0.7657,MAR
2023-01-03,71.29,71.58,68.405,69.1,68.8042,3536832,0.0,1.0,-1.637,MCHP
2023-01-03,66.5,66.7,65.37,66.25,65.8854,6545337,0.0,1.0,-0.6002,MDLZ
2023-01-03,180.85,184.39,178.23,178.99,178.99,4027934,0.0,1.0,-0.3507,MRNA
2023-01-03,101.77,102.29,100.32,101.32,50.66,1506819,0.0,1.0,-0.2068,MNST
2023-01-03,243.08,245.75,237.4,239.58,238.9766,25740036,0.0,1.0,-0.1001,MSFT
2023-01-03,50.56,50.96,49.55,50.37,50.2713,12422763,0.0,1.0,0.7803,MU
2023-01-03,298.06,298.39,288.7,294.95,294.95,6763964,0.0,1.0,0.0237,NFLX
2023-01-03,148.51,149.96,140.96,143.15,143.1254,40127658,0.0,1.0,-2.046,NVDA
2023-01-03,159.78,160.45,153.11,155.05,154.1757,1900282,0.0,1.0,-1.8857,NXPI
2023-01-03,286.01,286.5,279.99,282.52,282.1873,441148,0.0,1.0,-0.444,ODFL
2023-01-03,842.43,843.88,833.51,840.72,840.72,455493,0.0,1.0,-0.3922,ORLY
2023-01-03,98.88,99.23,97.67,98.43,65.396,1974249,0.0,1.0,-0.5456,PCAR
2023-01-03,141.32,143.445,137.51,138.45,138.45,3909126,0.0,1.0,-0.7811,PANW
2023-01-03,116.64,116.82,114.88,115.81,115.0194,1792600,0.0,1.0,0.2163,PAYX
2023-01-03,85.51,89.49,84.2301,84.53,84.53,12106600,0.0,1.0,3.6542,PDD
2023-01-03,73.69,75.26,73.38,74.58,74.58,27974216,0.0,1.0,4.7178,PYPL
2023-01-03,180.59,180.75,176.57,179.41,178.2274,5137404,0.0,1.0,-0.6919,PEP
2023-01-03,111.35,111.74,107.13,107.2,106.5539,8110390,0.0,1.0,-2.4923,QCOM
2023-01-03,721.86,732.43,719.3521,720.47,720.47,508474,0.0,1.0,-0.1414,REGN
2023-01-03,18.9,18.99,17.08,17.34,17.34,25993921,0.0,1.0,-5.9143,RIVN
2023-01-03,116.63,117.12,114.75,115.83,115.4559,1707641,0.0,1.0,-0.2068,ROST
2023-01-03,5.84,5.86,5.72,5.79,5.7621,16513668,0.0,1.0,-0.8562,SIRI
2023-01-03,129.59,130.725,127.66,128.7,128.7,550182,0.0,1.0,0.1478,SGEN
2023-01-03,100.56,101.17,99.47,100.83,100.3286,6607675,0.0,1.0,1.6431,SBUX
2023-01-03,323.0,326.31,315.5595,319.68,319.68,706065,0.0,1.0,0.1221,SNPS
2023-01-03,118.47,118.8,104.64,108.1,108.1,231402818,0.0,1.0,-12.2422,TSLA
2023-01-03,167.22,167.65,162.59,163.21,162.0494,4294135,0.0,1.0,-1.2166,TXN
2023-01-03,139.0,140.09,136.26,139.04,139.04,8245426,0.0,1.0,-0.6857,TMUS
2023-01-03,177.4,179.35,176.02,177.34,177.0073,644379,0.0,1.0,0.5215,VRSK
2023-01-03,288.61,289.06,283.5,286.02,286.02,1100425,0.0,1.0,-0.9557,VRTX
2023-01-03,37.85,37.85,36.88,37.19,36.7075,7377223,0.0,1.0,-0.455,WBA
2023-01-03,9.65,9.94,9.49,9.54,9.54,25186060,0.0,1.0,0.6329,WBD
2023-01-03,170.7,173.87,167.04,169.35,169.35,2094089,0.0,1.0,1.2072,WDAY
2023-01-03,69.81,70.5,68.82,70.07,69.5176,2684470,0.0,1.0,-0.0571,XEL
2023-01-03,69.01,69.33,66.16,66.66,66.66,2797598,0.0,1.0,-1.5943,ZM
2023-01-03,114.72,116.67,108.18,110.19,110.19,2511062,0.0,1.0,-1.5282,ZS
2023-01-03,65.998,66.88,63.59,64.02,64.02,46851844,0.0,1.0,-1.1579,AMD
2023-01-03,340.16,345.82,331.92,336.92,336.92,2229104,0.0,1.0,0.1159,ADBE
2023-01-03,87.385,88.14,84.3,84.9,84.9,3901185,0.0,1.0,-0.7018,ABNB
2023-01-03,215.46,219.53,208.285,212.28,212.28,1170143,0.0,1.0,0.6543,ALGN
2023-01-03,85.46,86.96,84.205,85.82,85.82,76706040,0.0,1.0,2.1667,AMZN
2023-01-03,260.87,262.6,258.865,261.65,259.358,2594803,0.0,1.0,-0.3769,AMGN
2023-01-03,94.9,95.29,93.39,94.87,93.9883,1870526,0.0,1.0,-0.0843,AEP
2023-01-03,165.57,166.2,161.44,162.45,161.6899,4475744,0.0,1.0,-0.9632,ADI
2023-01-03,245.27,248.13,235.7,238.64,238.64,485064,0.0,1.0,-1.2211,ANSS
2023-01-03,130.28,130.9,124.17,125.07,124.8798,112117471,0.0,1.0,-3.7405,AAPL
2023-01-03,99.77,100.02,96.12,96.73,96.5027,5921671,0.0,1.0,-0.6675,AMAT
2023-01-03,561.28,564.15,545.77,549.57,548.3354,675329,0.0,1.0,0.5802,ASML
2023-01-03,131.91,132.71,119.84,126.5,126.5,2862121,0.0,1.0,-1.6941,TEAM
2023-01-03,190.62,192.9635,183.0,185.15,185.15,1181561,0.0,1.0,-0.9204,ADSK
2023-01-03,76.595,76.93,76.4,76.88,76.88,3990366,0.0,1.0,0.4311,ATVI
2023-01-03,240.79,241.51,235.27,237.66,236.3111,1749813,0.0,1.0,-0.5024,ADP
2023-01-03,68.65,69.43,68.6,69.33,68.3314,3474054,0.0,1.0,2.2566,AZN
2023-01-03,29.34,30.04,28.55,28.75,28.5769,6551048,0.0,1.0,-2.6414,BKR
2023-01-03,565.0,567.57,550.79,553.48,549.5102,2017314,0.0,1.0,-1.0105,AVGO
2023-01-03,276.73,278.0,272.39,272.63,272.63,1090503,0.0,1.0,-1.5492,BIIB
2023-01-03,103.0,103.325,100.52,100.61,100.61,1325481,0.0,1.0,-2.7829,BMRN
2023-01-03,2038.83,2049.0,2005.57,2032.21,2032.21,266999,0.0,1.0,0.8401,BKNG
2023-01-03,162.83,163.9999,157.495,159.64,159.64,992792,0.0,1.0,-0.6225,CDNS
2023-01-03,342.06,345.53,337.18,341.58,341.58,1524126,0.0,1.0,0.7313,CHTR
2023-01-03,61.41,62.075,60.765,61.46,61.46,1838138,0.0,1.0,0.9361,CPRT
