date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-02-02,226.86,229.15,224.57,228.99,227.6903,2953729,0.0,1.0,0.9968,ADP
2023-02-02,63.36,63.39,62.515,63.15,62.2404,8794086,0.0,1.0,-0.6451,AZN
2023-02-02,31.915,31.96,30.935,31.39,31.201,7744291,0.0,1.0,-1.8756,BKR
2023-02-02,607.63,613.14,599.75,605.77,601.4252,2418766,0.0,1.0,0.501,AVGO
2023-02-02,291.62,293.47,285.7,287.52,287.52,982899,0.0,1.0,-1.3992,BIIB
2023-02-02,116.64,116.7,111.84,112.84,112.84,1758450,0.0,1.0,-3.3159,BMRN
2023-02-02,2455.85,2484.79,2438.96,2454.69,2454.69,346051,0.0,1.0,0.3659,BKNG
2023-02-02,190.73,191.92,188.4,189.22,189.22,1909673,0.0,1.0,0.1747,CDNS
2023-02-02,404.82,415.29,399.75,412.25,412.25,1165337,0.0,1.0,3.4037,CHTR
2023-02-02,69.97,70.93,69.53,69.75,69.75,2790739,0.0,1.0,0.3453,CPRT
2023-02-02,79.7,80.35,78.88,80.01,80.01,3046299,0.0,1.0,1.2657,CSGP
2023-02-02,117.59,117.59,113.91,115.93,115.93,7125794,0.0,1.0,4.914,CRWD
2023-02-02,444.42,447.43,440.42,444.81,443.6585,413831,0.0,1.0,-0.3473,CTAS
2023-02-02,48.53,49.56,48.355,49.32,48.9516,17883773,0.0,1.0,1.5442,CSCO
2023-02-02,39.85,41.15,39.73,41.11,40.7968,21445689,0.0,1.0,2.8521,CMCSA
2023-02-02,524.29,530.05,520.64,523.43,523.43,2287366,0.9,1.0,1.0658,COST
2023-02-02,31.7,32.88,31.655,32.64,32.5237,15828613,0.0,1.0,3.3238,CSX
2023-02-02,69.48,70.865,69.255,70.66,70.3526,5879432,0.0,1.0,2.6438,CTSH
2023-02-02,86.69,88.845,85.46,86.97,86.97,7919808,0.0,1.0,5.1632,DDOG
2023-02-02,109.17,110.5,106.59,108.03,108.03,3316371,0.0,1.0,0.2971,DXCM
2023-02-02,142.97,142.97,137.03,137.57,134.8113,2727136,0.0,1.0,-4.0321,FANG
2023-02-02,153.63,157.95,152.63,157.02,157.02,3402677,0.0,1.0,2.2665,DLTR
2023-02-02,117.5,117.52,114.1,115.99,115.7917,6355636,0.0,1.0,-0.6595,EA
2023-02-02,50.75,52.23,50.69,51.66,51.361,6390040,0.0,1.0,2.5,EBAY
2023-02-02,232.7,235.9,222.2,227.7,227.7,4405246,0.0,1.0,0.2465,ENPH
2023-02-02,42.19,42.9454,41.79,41.89,41.5282,9350950,0.0,1.0,-0.9693,EXC
2023-02-02,52.33,55.34,52.19,55.29,55.29,7141555,0.0,1.0,6.5318,FAST
2023-02-02,63.695,65.34,62.14,64.79,64.79,2397928,0.0,1.0,2.532,GFS
2023-02-02,86.69,88.845,85.46,86.97,86.97,7919808,0.0,1.0,5.1632,DDOG
2023-02-02,109.17,110.5,106.59,108.03,108.03,3316371,0.0,1.0,0.2971,DXCM
2023-02-02,142.97,142.97,137.03,137.57,134.8113,2727136,0.0,1.0,-4.0321,FANG
2023-02-02,153.63,157.95,152.63,157.02,157.02,3402677,0.0,1.0,2.2665,DLTR
2023-02-02,117.5,117.52,114.1,115.99,115.7917,6355636,0.0,1.0,-0.6595,EA
2023-02-02,50.75,52.23,50.69,51.66,51.361,6390040,0.0,1.0,2.5,EBAY
2023-02-02,232.7,235.9,222.2,227.7,227.7,4405246,0.0,1.0,0.2465,ENPH
2023-02-02,42.19,42.9454,41.79,41.89,41.5282,9350950,0.0,1.0,-0.9693,EXC
2023-02-02,52.33,55.34,52.19,55.29,55.29,7141555,0.0,1.0,6.5318,FAST
2023-02-02,63.695,65.34,62.14,64.79,64.79,2397928,0.0,1.0,2.532,GFS
2023-02-02,183.38,197.16,180.16,188.77,188.77,150475687,0.0,1.0,23.2824,META
2023-02-02,108.78,110.02,107.21,107.6,107.6,3905093,0.0,1.0,-0.5178,FISV
2023-02-02,53.01,54.33,53.0,53.845,53.845,6790021,0.0,1.0,1.4221,FTNT
2023-02-02,82.365,82.5,80.48,81.39,80.6319,10933779,0.0,1.0,-3.1071,GILD
2023-02-02,106.79,108.82,106.54,108.8,108.8,46622627,0.0,1.0,7.2661,GOOG
2023-02-02,105.8,107.85,105.61,107.74,107.74,69883762,0.0,1.0,7.2787,GOOGL
2023-02-02,198.95,208.2219,197.69,207.38,206.2905,7183495,0.0,1.0,0.3193,HON
2023-02-02,218.88,225.38,218.32,224.94,224.94,1146473,0.0,1.0,3.8888,ILMN
2023-02-02,29.25,30.3,28.795,30.19,29.8107,62230659,0.0,1.0,3.8528,INTC
2023-02-02,443.96,457.94,442.09,452.16,451.3719,1917634,0.0,1.0,3.8136,INTU
2023-02-02,253.85,261.95,252.88,260.9,260.9,2197290,0.0,1.0,3.8656,ISRG
2023-02-02,46.9937,49.485,46.74,48.76,48.6871,17101437,0.0,1.0,5.7242,MRVL
2023-02-02,488.21,504.47,486.04,504.22,504.22,866343,0.0,1.0,4.3502,IDXX
2023-02-02,60.3,60.3,58.4,59.31,58.4157,8239901,0.0,1.0,-1.9183,JD
2023-02-02,35.2,35.3,34.84,35.21,35.0107,6256608,0.0,1.0,-0.3679,KDP
2023-02-02,414.0,416.935,408.61,414.26,412.9034,1343068,0.0,1.0,1.0957,KLAC
2023-02-02,40.04,40.155,39.71,39.99,39.5711,8766979,0.0,1.0,-1.3567,KHC
2023-02-02,539.04,548.85,529.85,541.04,539.1572,2019315,0.0,1.0,2.033,LRCX
2023-02-02,12.2,13.04,11.86,12.07,12.07,71458690,0.0,1.0,1.8995,LCID
2023-02-02,318.96,328.42,316.56,322.76,322.76,2224916,0.0,1.0,2.2331,LULU
2023-02-02,1235.92,1250.4817,1201.78,1226.58,1226.58,653899,0.0,1.0,1.0121,MELI
2023-02-02,176.6,177.58,175.02,176.17,175.7611,1145476,0.0,1.0,0.4619,MAR
2023-02-02,82.02,84.95,82.0,84.53,84.1681,8886188,0.0,1.0,4.1523,MCHP
2023-02-02,66.25,66.79,65.795,66.66,66.2932,6776216,0.0,1.0,-0.1049,MDLZ
2023-02-02,173.4,176.73,170.51,176.35,176.35,4061548,0.0,1.0,1.1761,MRNA
2023-02-02,104.09,104.19,101.18,102.58,51.29,2349042,0.0,1.0,-1.4033,MNST
2023-02-02,258.82,264.69,257.25,264.6,263.9336,39940437,0.0,1.0,4.6884,MSFT
2023-02-02,63.56,63.92,61.86,63.17,63.0462,15877623,0.0,1.0,0.9105,MU
2023-02-02,365.16,368.32,358.43,366.89,366.89,7856952,0.0,1.0,1.3536,NFLX
