date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-02-13,226.66,227.84,225.7128,227.36,226.0695,1720737,0.0,1.0,0.682,ADP
2023-02-13,68.53,69.77,68.5,69.71,68.7059,5003611,0.0,1.0,1.205,AZN
2023-02-13,32.7,33.12,32.47,32.78,32.78,3851565,0.0,1.0,-0.4253,BKR
2023-02-13,595.0,601.48,593.4704,601.12,596.8085,1984742,0.0,1.0,1.3266,AVGO
2023-02-13,284.45,290.76,282.31,290.46,290.46,761822,0.0,1.0,1.453,BIIB
2023-02-13,109.15,109.65,108.42,109.01,109.01,1233451,0.0,1.0,-0.4111,BMRN
2023-02-13,2376.94,2432.84,2366.5928,2423.03,2423.03,269069,0.0,1.0,3.1792,BKNG
2023-02-13,185.1,186.85,183.8,185.7,185.7,1992315,0.0,1.0,1.0337,CDNS
2023-02-13,396.14,402.75,395.03,400.13,400.13,660774,0.0,1.0,0.8036,CHTR
2023-02-13,68.41,68.995,68.05,68.83,68.83,1121025,0.0,1.0,1.3697,CPRT
2023-02-13,76.4,77.22,76.15,77.08,77.08,1516578,0.0,1.0,1.4745,CSGP
2023-02-13,110.23,113.2899,108.645,112.17,112.17,2670699,0.0,1.0,2.946,CRWD
2023-02-13,443.7,448.48,443.04,447.99,446.8302,273864,0.0,1.0,1.1584,CTAS
2023-02-13,47.45,47.99,47.39,47.86,47.5025,19422105,0.0,1.0,1.2696,CSCO
2023-02-13,38.17,39.255,38.17,39.09,38.7922,18378869,0.0,1.0,1.903,CMCSA
2023-02-13,501.74,506.785,501.35,506.45,506.45,1452837,0.0,1.0,1.292,COST
2023-02-13,31.27,32.06,31.27,31.63,31.5173,18021546,0.0,1.0,0.1901,CSX
2023-02-13,66.65,68.01,66.4,67.83,67.5349,5427956,0.0,1.0,1.6637,CTSH
2023-02-13,81.25,84.02,79.885,82.24,82.24,5301289,0.0,1.0,2.1361,DDOG
2023-02-13,119.69,121.11,118.01,118.28,118.28,2944199,0.0,1.0,0.3308,DXCM
2023-02-13,147.92,150.39,147.21,148.23,145.2575,2778057,0.0,1.0,-0.71,FANG
2023-02-13,147.39,148.47,147.02,148.45,148.45,2002494,0.0,1.0,0.9589,DLTR
2023-02-13,111.47,113.41,111.47,113.2,113.0065,2552983,0.0,1.0,1.2522,EA
2023-02-13,48.2,49.02,47.92,48.93,48.6468,4744263,0.0,1.0,1.7679,EBAY
2023-02-13,212.88,217.07,208.5,212.57,212.57,3597030,0.0,1.0,0.2358,ENPH
2023-02-13,40.72,41.19,40.65,41.19,40.8342,5163738,0.0,1.0,1.1791,EXC
2023-02-13,52.34,53.225,52.15,53.03,53.03,2106037,0.0,1.0,1.7655,FAST
2023-02-13,65.41,66.3,64.655,66.15,66.15,2359417,0.0,1.0,2.4152,GFS
2023-02-13,81.25,84.02,79.885,82.24,82.24,5301289,0.0,1.0,2.1361,DDOG
2023-02-13,119.69,121.11,118.01,118.28,118.28,2944199,0.0,1.0,0.3308,DXCM
2023-02-13,147.92,150.39,147.21,148.23,145.2575,2778057,0.0,1.0,-0.71,FANG
2023-02-13,147.39,148.47,147.02,148.45,148.45,2002494,0.0,1.0,0.9589,DLTR
2023-02-13,111.47,113.41,111.47,113.2,113.0065,2552983,0.0,1.0,1.2522,EA
2023-02-13,48.2,49.02,47.92,48.93,48.6468,4744263,0.0,1.0,1.7679,EBAY
2023-02-13,212.88,217.07,208.5,212.57,212.57,3597030,0.0,1.0,0.2358,ENPH
2023-02-13,40.72,41.19,40.65,41.19,40.8342,5163738,0.0,1.0,1.1791,EXC
2023-02-13,52.34,53.225,52.15,53.03,53.03,2106037,0.0,1.0,1.7655,FAST
2023-02-13,65.41,66.3,64.655,66.15,66.15,2359417,0.0,1.0,2.4152,GFS
2023-02-13,178.215,181.0,175.82,179.43,179.43,31463223,0.0,1.0,3.0319,META
2023-02-13,114.51,116.64,114.12,116.45,116.45,3467001,0.0,1.0,0.7004,FISV
2023-02-13,59.76,60.46,59.3268,60.15,60.15,4507535,0.0,1.0,0.9059,FTNT
2023-02-13,86.7,87.82,86.39,87.49,86.6751,5801725,0.0,1.0,0.9112,GILD
2023-02-13,95.01,95.35,94.05,95.0,95.0,43116559,0.0,1.0,0.1476,GOOG
2023-02-13,94.74,95.2,93.84,94.61,94.61,50076120,0.0,1.0,0.0423,GOOGL
2023-02-13,200.19,203.74,199.75,203.37,202.3015,2973187,0.0,1.0,1.4466,HON
2023-02-13,196.91,216.1,196.385,215.94,215.94,3030495,0.0,1.0,9.8484,ILMN
2023-02-13,27.87,28.55,27.715,28.55,28.55,32347470,0.0,1.0,2.6978,INTC
2023-02-13,415.98,419.22,413.91,418.09,417.3613,1028948,0.0,1.0,1.1051,INTU
2023-02-13,246.09,246.54,244.74,245.13,245.13,1277001,0.0,1.0,-0.0571,ISRG
2023-02-13,44.89,45.89,44.2,45.6,45.5319,7045595,0.0,1.0,2.3569,MRVL
2023-02-13,490.27,497.19,488.95,496.68,496.68,367763,0.0,1.0,2.2543,IDXX
2023-02-13,52.9,53.22,52.2,52.43,51.6395,7134604,0.0,1.0,0.2677,JD
2023-02-13,35.34,35.66,35.23,35.66,35.4581,4040177,0.0,1.0,1.0771,KDP
2023-02-13,396.22,404.28,393.44,402.7,402.7,1250766,0.0,1.0,1.7742,KLAC
2023-02-13,39.82,40.38,39.76,40.33,39.9076,6591976,0.0,1.0,1.7663,KHC
2023-02-13,508.25,510.97,502.31,510.29,508.5142,889321,0.0,1.0,1.0475,LRCX
2023-02-13,9.96,10.23,9.6352,10.2,10.2,14305167,0.0,1.0,1.6949,LCID
2023-02-13,311.31,317.485,309.97,317.08,317.08,1202546,0.0,1.0,2.4822,LULU
2023-02-13,1111.16,1126.638,1102.91,1112.32,1112.32,288123,0.0,1.0,0.667,MELI
2023-02-13,172.03,175.0325,171.73,174.37,173.9653,1995357,0.0,1.0,1.7506,MAR
2023-02-13,82.88,84.47,82.8,84.33,83.969,4421577,0.0,1.0,2.0944,MCHP
2023-02-13,65.77,66.74,65.77,66.27,65.9053,5588198,0.0,1.0,1.1756,MDLZ
2023-02-13,168.73,171.77,166.01,171.48,171.48,2702267,0.0,1.0,1.2996,MRNA
2023-02-13,103.4,104.25,103.0316,104.22,52.11,1104262,0.0,1.0,1.3813,MNST
2023-02-13,267.64,274.6,267.15,271.32,270.6367,44630921,0.0,1.0,3.1243,MSFT
2023-02-13,59.82,60.28,58.84,60.12,60.0022,11466243,0.0,1.0,0.5015,MU
2023-02-13,349.5,359.7034,344.25,358.57,358.57,7134445,0.0,1.0,3.2272,NFLX
2023-02-13,215.38,220.48,209.62,217.88,217.8426,47491862,0.0,1.0,2.4594,NVDA
2023-02-13,186.98,189.245,185.46,188.38,187.3178,1677751,0.0,1.0,1.0243,NXPI
2023-02-13,350.08,356.13,346.01,355.96,355.5408,963380,0.0,1.0,1.9943,ODFL
2023-02-13,825.32,849.88,820.09,849.49,849.49,708335,0.0,1.0,2.9286,ORLY
2023-02-13,72.62,73.3,72.19,73.0,73.0,1885856,0.25,1.0,0.0137,PCAR
2023-02-13,166.32,167.41,164.41,166.31,166.31,2096076,0.0,1.0,0.6415,PANW
2023-02-13,114.3,115.58,114.18,115.51,115.51,1295687,0.0,1.0,1.1294,PAYX
2023-02-13,94.99,97.63,91.9,96.1,96.1,9898894,0.0,1.0,3.9481,PDD
2023-02-13,80.65,80.71,78.44,79.45,79.45,15898540,0.0,1.0,-1.6708,PYPL
2023-02-13,176.26,178.225,176.04,177.77,176.5982,5205130,0.0,1.0,0.891,PEP
2023-02-13,129.46,131.43,128.39,130.84,130.0514,5550427,0.0,1.0,1.4342,QCOM
2023-02-13,755.87,767.74,754.18,763.97,763.97,494825,0.0,1.0,0.8395,REGN
2023-02-13,18.65,19.065,18.28,18.92,18.92,13538627,0.0,1.0,0.3714,RIVN
2023-02-13,115.75,117.2,115.115,116.78,116.4028,1751795,0.0,1.0,1.3891,ROST
2023-02-13,4.71,4.74,4.68,4.71,4.71,14205621,0.0,1.0,-0.2119,SIRI
2023-02-13,134.94,139.0,133.38,138.9,138.9,732175,0.0,1.0,2.5774,SGEN
2023-02-13,107.45,108.93,107.28,108.52,108.52,5192356,0.0,1.0,1.3353,SBUX
2023-02-13,361.26,364.9,360.085,361.76,361.76,664945,0.0,1.0,0.7379,SNPS
2023-02-13,194.415,196.3,187.61,194.64,194.64,172475452,0.0,1.0,-1.1428,TSLA
2023-02-13,176.52,177.8,175.685,176.71,176.71,3443194,0.0,1.0,0.5234,TXN
2023-02-13,144.5,146.6,144.0,146.58,146.58,3547852,0.0,1.0,2.0042,TMUS
2023-02-13,177.02,179.615,177.02,179.07,178.7341,889294,0.0,1.0,1.2954,VRSK
2023-02-13,295.53,300.99,295.53,299.18,299.18,1053320,0.0,1.0,0.5985,VRTX
2023-02-13,36.55,37.12,36.51,37.11,36.6286,5498566,0.0,1.0,1.5321,WBA
2023-02-13,14.31,15.075,14.105,14.92,14.92,19340352,0.0,1.0,4.9226,WBD
2023-02-13,187.84,188.59,184.835,188.25,188.25,1491962,0.0,1.0,0.7493,WDAY
2023-02-13,68.47,69.14,68.42,68.71,68.1683,1970479,0.0,1.0,0.3359,XEL
2023-02-13,75.1,76.51,73.6,76.48,76.48,2941291,0.0,1.0,3.0589,ZM
2023-02-13,134.67,135.41,131.07,133.87,133.87,1349604,0.0,1.0,0.0,ZS
2023-02-13,81.57,84.15,80.9,83.13,83.13,45400008,0.0,1.0,2.025,AMD
2023-02-13,373.41,376.31,371.03,375.0,375.0,1877255,0.0,1.0,1.0809,ADBE
2023-02-13,110.0,116.9,109.81,116.42,116.42,7657239,0.0,1.0,6.9349,ABNB
2023-02-13,319.25,325.54,315.45,325.26,325.26,946825,0.0,1.0,2.9923,ALGN
2023-02-13,97.85,99.68,96.91,99.54,99.54,52841464,0.0,1.0,1.9773,AMZN
2023-02-13,243.2,243.83,241.3,243.66,241.5256,2321856,0.0,1.0,0.4784,AMGN
2023-02-13,90.65,91.37,90.57,91.09,91.09,3107217,0.0,1.0,0.5964,AEP
2023-02-13,179.38,181.63,178.95,180.45,179.6057,3975486,0.0,1.0,1.1151,ADI
2023-02-13,268.72,273.01,267.6,272.76,272.76,375588,0.0,1.0,2.142,ANSS
2023-02-13,150.952,154.26,150.92,153.85,153.85,62199013,0.0,1.0,1.8807,AAPL
2023-02-13,115.17,116.715,114.55,116.53,116.2562,4198226,0.0,1.0,1.5335,AMAT
2023-02-13,659.13,673.02,657.32,668.74,668.74,596038,0.0,1.0,1.8877,ASML
2023-02-13,172.79,177.845,170.1301,175.56,175.56,1600570,0.0,1.0,1.9335,TEAM
2023-02-13,223.38,225.96,222.85,224.0,224.0,1021244,0.0,1.0,0.5386,ADSK
2023-02-13,75.88,76.92,75.65,76.59,76.59,5374299,0.0,1.0,1.5109,ATVI
2023-02-13,226.66,227.84,225.7128,227.36,226.0695,1720737,0.0,1.0,0.682,ADP
2023-02-13,68.53,69.77,68.5,69.71,68.7059,5003611,0.0,1.0,1.205,AZN
2023-02-13,32.7,33.12,32.47,32.78,32.78,3851565,0.0,1.0,-0.4253,BKR
2023-02-13,595.0,601.48,593.4704,601.12,596.8085,1984742,0.0,1.0,1.3266,AVGO
2023-02-13,284.45,290.76,282.31,290.46,290.46,761822,0.0,1.0,1.453,BIIB
2023-02-13,109.15,109.65,108.42,109.01,109.01,1233451,0.0,1.0,-0.4111,BMRN
2023-02-13,2376.94,2432.84,2366.5928,2423.03,2423.03,269069,0.0,1.0,3.1792,BKNG
2023-02-13,185.1,186.85,183.8,185.7,185.7,1992315,0.0,1.0,1.0337,CDNS
2023-02-13,396.14,402.75,395.03,400.13,400.13,660774,0.0,1.0,0.8036,CHTR
2023-02-13,68.41,68.995,68.05,68.83,68.83,1121025,0.0,1.0,1.3697,CPRT
2023-02-13,76.4,77.22,76.15,77.08,77.08,1516578,0.0,1.0,1.4745,CSGP
2023-02-13,110.23,113.2899,108.645,112.17,112.17,2670699,0.0,1.0,2.946,CRWD
2023-02-13,443.7,448.48,443.04,447.99,446.8302,273864,0.0,1.0,1.1584,CTAS
2023-02-13,47.45,47.99,47.39,47.86,47.5025,19422105,0.0,1.0,1.2696,CSCO
2023-02-13,38.17,39.255,38.17,39.09,38.7922,18378869,0.0,1.0,1.903,CMCSA
2023-02-13,501.74,506.785,501.35,506.45,506.45,1452837,0.0,1.0,1.292,COST
2023-02-13,31.27,32.06,31.27,31.63,31.5173,18021546,0.0,1.0,0.1901,CSX
2023-02-13,66.65,68.01,66.4,67.83,67.5349,5427956,0.0,1.0,1.6637,CTSH
2023-02-13,4406.15,4439.45,4330.0,4355.1,4349.2264,6570,0.0,1.0,-1.4114,APOLLOHOSP.BSE
2023-02-13,4406.15,4439.45,4330.0,4355.1,4349.2264,6570,0.0,1.0,-1.4114,APOLLOHOSP.BSE
2023-02-13,1126.85,1126.85,1126.85,1126.85,1126.85,5437,0.0,1.0,-4.9994,ADANITRANS.BSE
2023-02-13,220.1,224.15,219.85,220.4,220.4,21102,0.0,1.0,-0.676,PETRONET.BSE
2023-02-13,459.95,464.05,454.1,458.95,458.95,78056,0.0,1.0,-0.3041,JUBLFOOD.BSE
2023-02-13,4690.0,4690.0,4553.5,4620.1,4620.1,8203,0.0,1.0,-1.5041,LTI.BSE
2023-02-13,727.0,729.15,716.5,717.6,717.6,22628,0.0,1.0,-1.2115,TATACONSUM.BSE
2023-02-13,405.1,405.5,399.25,400.95,400.95,100344,0.0,1.0,-1.1586,WIPRO.BSE
2023-02-13,1016.0,1017.35,1000.75,1002.8,1002.8,88210,0.0,1.0,-1.4786,TECHM.BSE
2023-02-13,2567.6499,2589.75,2550.1499,2578.3999,2578.3999,38851,0.0,1.0,0.0097,HINDUNILVR.BSE
2023-02-13,18900.1,19164.75,18900.1,19037.35,18967.6061,1243,0.0,1.0,0.0271,NESTLEIND.BSE
2023-02-13,2472.0,2524.0,2472.0,2519.45,2519.45,44362,0.0,1.0,2.0723,TITAN.BSE
2023-02-13,3548.0,3548.0,3475.0,3482.75,3482.75,26143,0.0,1.0,-1.4906,TCS.BSE
2023-02-13,1598.0,1598.0,1565.6,1567.4,1567.4,190795,0.0,1.0,-2.5218,INFY.BSE
2023-02-13,1515.05,1526.9,1512.15,1515.25,1515.25,1285,0.0,1.0,-0.5089,TORNTPHARM.BSE
2023-02-13,1401.45,1414.35,1381.9,1388.0,1388.0,78202,0.0,1.0,-0.9527,BAJAJFINSV.BSE
2023-02-13,1025.05,1040.95,1018.75,1021.85,1021.85,17464,0.0,1.0,-1.0746,CIPLA.BSE
2023-02-13,1117.05,1120.65,1105.0,1113.3,1113.3,17831,0.0,1.0,-0.0942,HCLTECH.BSE
2023-02-13,1470.3,1470.3,1451.65,1454.55,1454.55,2665,0.0,1.0,-0.7946,COLPAL.BSE
2023-02-13,6040.0498,6147.7998,5959.8501,6015.8999,6015.8999,536,0.0,1.0,-1.3463,BAJAJHLDNG.BSE
2023-02-13,1493.95,1493.95,1451.45,1458.75,1458.75,5398,0.0,1.0,-1.4192,UBL.BSE
2023-02-13,2818.0,2828.95,2780.1001,2790.05,2790.05,92259,0.0,1.0,-0.5294,ASIANPAINT.BSE
2023-02-13,532.0,535.9,529.8,535.15,535.15,119103,0.0,1.0,0.5638,DABUR.BSE
2023-02-13,361.65,366.9,336.7,342.4,342.4,1634101,0.0,1.0,-5.1655,AMBUJACEM.BSE
2023-02-13,933.35,941.2,920.25,924.15,924.15,10054,0.0,1.0,-1.7123,GODREJCP.BSE
2023-02-13,2584.7,2601.8999,2555.3501,2561.6001,2496.4883,15476,0.0,1.0,-0.8918,HEROMOTOCO.BSE
2023-02-13,214.0,216.5,214.0,215.8,215.8,382564,0.0,1.0,0.9119,POWERGRID.BSE
2023-02-13,494.4,498.5,490.75,491.8,487.3286,13192,0.0,1.0,-0.6866,MARICO.BSE
2023-02-13,7206.0,7253.5,7155.0,7179.5,7179.5,13484,0.0,1.0,-0.2251,ULTRACEMCO.BSE
