date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-04-14,216.22,217.995,213.79,215.7,215.7,1224198,0.0,1.0,-0.7135,ADP
2023-04-14,74.33,74.467,73.57,73.86,73.86,3981444,0.0,1.0,-1.2171,AZN
2023-04-14,29.54,29.59,28.865,29.15,29.15,5395698,0.0,1.0,-1.0187,BKR
2023-04-14,620.48,628.03,615.21,619.54,619.54,1746594,0.0,1.0,-0.7529,AVGO
2023-04-14,288.55,289.39,285.05,288.13,288.13,571402,0.0,1.0,-0.5419,BIIB
2023-04-14,98.4,99.18,98.06,99.01,99.01,841727,0.0,1.0,0.6813,BMRN
2023-04-14,2626.45,2657.98,2615.62,2649.86,2649.86,185473,0.0,1.0,0.7693,BKNG
2023-04-14,214.87,216.73,212.92,214.55,214.55,1273060,0.0,1.0,-1.1336,CDNS
2023-04-14,345.62,347.1512,337.35,341.5,341.5,847496,0.0,1.0,-1.7634,CHTR
2023-04-14,76.62,77.35,76.13,77.12,77.12,1474956,0.0,1.0,0.4952,CPRT
2023-04-14,69.48,69.97,68.67,69.22,69.22,1052703,0.0,1.0,-0.7883,CSGP
2023-04-14,134.45,136.7,133.86,135.77,135.77,2912461,0.0,1.0,-0.2425,CRWD
2023-04-14,458.09,461.1,455.61,458.61,458.61,302802,0.0,1.0,-0.2545,CTAS
2023-04-14,50.52,50.85,50.2,50.54,50.54,12360102,0.0,1.0,-0.5118,CSCO
2023-04-14,37.985,38.205,37.43,37.96,37.96,19679100,0.0,1.0,-0.2365,CMCSA
2023-04-14,496.19,500.37,490.16,491.3,491.3,1675297,0.0,1.0,-1.3236,COST
2023-04-14,30.5,30.735,30.24,30.46,30.46,16727539,0.0,1.0,0.1315,CSX
2023-04-14,60.4,60.585,59.515,60.04,60.04,3708663,0.0,1.0,-0.9404,CTSH
2023-04-14,67.41,68.97,66.09,67.32,67.32,3243270,0.0,1.0,-1.1163,DDOG
2023-04-14,115.68,116.46,114.13,115.7,115.7,1150067,0.0,1.0,-0.4988,DXCM
2023-04-14,146.22,148.49,145.06,146.74,146.74,1531312,0.0,1.0,0.6862,FANG
2023-04-14,148.965,149.6,146.32,147.9,147.9,1387435,0.0,1.0,-0.6582,DLTR
2023-04-14,127.98,128.53,127.44,127.87,127.87,1377184,0.0,1.0,-0.3196,EA
2023-04-14,43.54,44.16,43.135,43.53,43.53,3603759,0.0,1.0,-0.1834,EBAY
2023-04-14,209.77,214.65,204.6,208.9,208.9,2996418,0.0,1.0,-0.3767,ENPH
2023-04-14,42.415,42.6,41.915,42.13,42.13,6651163,0.0,1.0,-1.772,EXC
2023-04-14,52.475,53.9,52.38,53.27,53.27,5400070,0.0,1.0,1.7768,FAST
2023-04-14,65.68,66.8,64.93,65.85,65.85,745122,0.0,1.0,-0.1213,GFS
2023-04-14,67.41,68.97,66.09,67.32,67.32,3243270,0.0,1.0,-1.1163,DDOG
2023-04-14,115.68,116.46,114.13,115.7,115.7,1150067,0.0,1.0,-0.4988,DXCM
2023-04-14,146.22,148.49,145.06,146.74,146.74,1531312,0.0,1.0,0.6862,FANG
2023-04-14,148.965,149.6,146.32,147.9,147.9,1387435,0.0,1.0,-0.6582,DLTR
2023-04-14,127.98,128.53,127.44,127.87,127.87,1377184,0.0,1.0,-0.3196,EA
2023-04-14,43.54,44.16,43.135,43.53,43.53,3603759,0.0,1.0,-0.1834,EBAY
2023-04-14,209.77,214.65,204.6,208.9,208.9,2996418,0.0,1.0,-0.3767,ENPH
2023-04-14,42.415,42.6,41.915,42.13,42.13,6651163,0.0,1.0,-1.772,EXC
2023-04-14,52.475,53.9,52.38,53.27,53.27,5400070,0.0,1.0,1.7768,FAST
2023-04-14,65.68,66.8,64.93,65.85,65.85,745122,0.0,1.0,-0.1213,GFS
2023-04-14,217.88,222.11,217.55,221.49,221.49,21591207,0.0,1.0,0.5174,META
2023-04-14,115.85,116.53,114.385,115.59,115.59,2327073,0.0,1.0,-0.1123,FISV
2023-04-14,68.27,69.07,67.42,68.07,68.07,4049580,0.0,1.0,-0.4679,FTNT
2023-04-14,83.03,83.24,81.975,83.0,83.0,4886601,0.0,1.0,-0.3242,GILD
2023-04-14,107.69,109.58,107.59,109.46,109.46,20758686,0.0,1.0,1.1739,GOOG
2023-04-14,106.89,108.94,106.84,108.87,108.87,26578002,0.0,1.0,1.3404,GOOGL
2023-04-14,195.63,197.73,195.25,196.55,196.55,1964058,0.0,1.0,0.3318,HON
2023-04-14,230.84,232.16,226.65,228.01,228.01,524526,0.0,1.0,-2.0028,ILMN
2023-04-14,32.0,32.235,31.69,31.89,31.89,24623633,0.0,1.0,-0.747,INTC
2023-04-14,439.01,443.69,436.24,441.62,441.62,1328731,0.0,1.0,-0.043,INTU
2023-04-14,265.54,268.4,264.57,267.02,267.02,1319552,0.0,1.0,0.1726,ISRG
2023-04-14,40.39,41.165,39.89,40.29,40.29,8209420,0.0,1.0,-0.2476,MRVL
2023-04-14,478.79,482.93,474.1,482.49,482.49,322943,0.0,1.0,0.5167,IDXX
2023-04-14,37.3,37.55,36.45,36.85,36.85,10707968,0.0,1.0,-1.6021,JD
2023-04-14,35.025,35.365,35.005,35.1,35.1,6577054,0.0,1.0,-0.3973,KDP
2023-04-14,373.4,380.155,371.02,375.04,375.04,786788,0.0,1.0,0.1736,KLAC
2023-04-14,39.14,39.35,38.895,39.1,39.1,4577839,0.0,1.0,-0.1787,KHC
2023-04-14,497.09,505.86,492.59,500.84,500.84,924731,0.0,1.0,0.4996,LRCX
2023-04-14,7.67,7.765,7.45,7.73,7.73,30486230,0.0,1.0,-6.303,LCID
2023-04-14,364.0,369.14,363.86,368.25,368.25,1030800,0.0,1.0,1.0621,LULU
2023-04-14,1294.17,1319.98,1289.45,1301.88,1301.88,248084,0.0,1.0,0.4444,MELI
2023-04-14,165.5,168.19,165.5,168.1,168.1,1736450,0.0,1.0,1.571,MAR
2023-04-14,80.33,81.4,78.79,79.53,79.53,2837881,0.0,1.0,-0.7488,MCHP
2023-04-14,70.13,70.36,69.675,69.81,69.81,4423583,0.0,1.0,-0.8944,MDLZ
2023-04-14,159.95,163.24,155.35,157.1,157.1,2661690,0.0,1.0,-2.1367,MRNA
2023-04-14,52.65,52.87,52.27,52.56,52.56,2578391,0.0,1.0,-0.5863,MNST
2023-04-14,287.0,288.48,283.69,286.14,286.14,20987917,0.0,1.0,-1.2766,MSFT
2023-04-14,63.18,63.22,61.765,62.63,62.63,14953015,0.0,1.0,-0.5873,MU
2023-04-14,342.94,344.853,336.41,338.63,338.63,5350508,0.0,1.0,-2.1838,NFLX
2023-04-14,265.04,268.83,262.2,267.58,267.58,39566013,0.0,1.0,1.1148,NVDA
2023-04-14,172.14,174.77,170.5,172.35,172.35,1492367,0.0,1.0,0.2501,NXPI
2023-04-14,330.92,340.61,330.92,338.67,338.67,545287,0.0,1.0,1.773,ODFL
2023-04-14,885.27,896.168,885.27,892.27,892.27,237552,0.0,1.0,0.4865,ORLY
