date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2022-10-28,236.05,243.22,235.5721,242.64,240.1087,1589196,0.0,1.0,3.2642,ADP
2022-10-28,58.4,58.85,58.0,58.71,57.8644,5177586,0.0,1.0,1.9094,AZN
2022-10-28,27.35,27.64,26.58,27.24,26.9004,6770319,0.0,1.0,0.7769,BKR
2022-10-28,456.96,474.34,455.645,472.9,465.6114,2309608,0.0,1.0,3.8428,AVGO
2022-10-28,278.01,285.35,272.28,284.29,284.29,1543724,0.0,1.0,2.3104,BIIB
2022-10-28,85.67,86.95,84.295,86.77,86.77,2084333,0.0,1.0,1.2131,BMRN
2022-10-28,1839.01,1874.72,1813.54,1871.72,1871.72,460746,0.0,1.0,2.0712,BKNG
2022-10-28,149.66,151.82,148.83,151.48,151.48,1944810,0.0,1.0,1.9518,CDNS
2022-10-28,353.0,376.955,337.13,368.24,368.24,2345414,0.0,1.0,3.6537,CHTR
2022-10-28,113.45,116.49,112.56,116.36,58.18,844268,0.0,1.0,2.6012,CPRT
2022-10-28,82.0,83.375,81.7457,82.88,82.88,2207545,0.0,1.0,1.5437,CSGP
2022-10-28,162.55,164.98,158.86,163.65,163.65,1872721,0.0,1.0,-0.6556,CRWD
2022-10-28,416.23,427.99,414.88,427.64,425.4307,338613,0.0,1.0,3.1328,CTAS
2022-10-28,44.69,45.71,44.65,45.64,44.9399,17978327,0.0,1.0,2.7465,CSCO
2022-10-28,31.45,32.025,30.63,31.95,31.4677,34414030,0.0,1.0,-0.0626,CMCSA
2022-10-28,497.3,512.82,495.97,510.87,509.9931,2369348,0.0,1.0,2.886,COST
2022-10-28,29.0262,29.36,28.86,29.22,29.0257,14182775,0.0,1.0,1.4231,CSX
2022-10-28,61.87,63.09,61.83,63.02,62.4622,2871814,0.0,1.0,1.9411,CTSH
2022-10-28,78.45,81.4,75.95,81.13,81.13,7762171,0.0,1.0,-1.2537,DDOG
2022-10-28,113.72,121.88,109.89,120.87,120.87,9279797,0.0,1.0,19.3778,DXCM
2022-10-28,155.8,156.63,149.79,153.82,148.6227,2005429,0.0,1.0,0.3065,FANG
2022-10-28,155.91,159.42,155.34,158.55,158.55,1770655,0.0,1.0,1.498,DLTR
2022-10-28,128.42,130.45,127.78,128.24,127.8304,2213808,0.0,1.0,0.4229,EA
2022-10-28,38.8,40.41,38.48,40.32,39.8935,7750528,0.0,1.0,1.1794,EBAY
2022-10-28,308.82,309.56,296.595,305.25,305.25,4078899,0.0,1.0,-0.2712,ENPH
2022-10-28,37.75,38.81,37.75,38.76,38.0875,7594377,0.0,1.0,2.8117,EXC
2022-10-28,47.13,48.83,47.13,48.69,48.3638,3297951,0.0,1.0,3.4857,FAST
2022-10-28,54.88,57.96,54.88,57.25,57.25,1662237,0.0,1.0,2.8382,GFS
2022-10-28,78.45,81.4,75.95,81.13,81.13,7762171,0.0,1.0,-1.2537,DDOG
2022-10-28,113.72,121.88,109.89,120.87,120.87,9279797,0.0,1.0,19.3778,DXCM
2022-10-28,155.8,156.63,149.79,153.82,148.6227,2005429,0.0,1.0,0.3065,FANG
2022-10-28,155.91,159.42,155.34,158.55,158.55,1770655,0.0,1.0,1.498,DLTR
2022-10-28,128.42,130.45,127.78,128.24,127.8304,2213808,0.0,1.0,0.4229,EA
2022-10-28,38.8,40.41,38.48,40.32,39.8935,7750528,0.0,1.0,1.1794,EBAY
2022-10-28,308.82,309.56,296.595,305.25,305.25,4078899,0.0,1.0,-0.2712,ENPH
2022-10-28,37.75,38.81,37.75,38.76,38.0875,7594377,0.0,1.0,2.8117,EXC
2022-10-28,47.13,48.83,47.13,48.69,48.3638,3297951,0.0,1.0,3.4857,FAST
2022-10-28,54.88,57.96,54.88,57.25,57.25,1662237,0.0,1.0,2.8382,GFS
2022-10-28,99.58,100.85,97.51,99.2,99.2,95928306,0.0,1.0,1.2865,META
2022-10-28,99.68,103.46,99.59,102.6,102.6,5654780,0.0,1.0,3.8356,FISV
2022-10-28,56.36,57.16,55.27,57.1,57.1,3795562,0.0,1.0,1.9461,FTNT
2022-10-28,74.36,79.6058,73.99,79.27,77.8884,27665657,0.0,1.0,12.9202,GILD
