date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2022-12-20,244.88,245.305,241.64,243.91,242.5256,1445884,0.0,1.0,-0.4693,ADP
2022-12-20,67.37,67.8,67.14,67.72,66.7446,2486563,0.0,1.0,0.3705,AZN
2022-12-20,28.4,29.19,28.21,28.92,28.7459,7202612,0.0,1.0,2.3355,BKR
2022-12-20,545.17,549.0,540.915,544.02,540.1181,2983055,0.0,1.0,-1.0207,AVGO
2022-12-20,284.94,288.89,283.85,287.51,287.51,873226,0.0,1.0,1.1006,BIIB
2022-12-20,105.92,106.75,105.56,106.3,106.3,997223,0.0,1.0,-0.2908,BMRN
2022-12-20,1924.72,1963.105,1924.72,1958.51,1958.51,245346,0.0,1.0,1.4015,BKNG
2022-12-20,159.9,162.9199,159.12,162.36,162.36,1353475,0.0,1.0,0.876,CDNS
2022-12-20,305.75,311.67,302.44,309.29,309.29,1461475,0.0,1.0,1.0223,CHTR
2022-12-20,60.24,60.41,59.59,60.25,60.25,1427423,0.0,1.0,-0.0995,CPRT
2022-12-20,77.16,77.36,76.19,76.7,76.7,2379865,0.0,1.0,-0.5962,CSGP
2022-12-20,107.0505,110.4815,106.027,109.83,109.83,3453829,0.0,1.0,1.6098,CRWD
2022-12-20,442.56,446.09,440.78,443.94,442.7907,435713,0.0,1.0,0.097,CTAS
2022-12-20,47.41,47.56,46.79,47.37,46.6434,15086163,0.0,1.0,-0.0633,CSCO
2022-12-20,33.98,34.555,33.78,34.41,33.8906,31933111,0.0,1.0,1.2655,CMCSA
2022-12-20,456.56,460.25,452.53,457.82,457.0342,1993675,0.0,1.0,-0.1766,COST
2022-12-20,31.08,31.21,30.535,30.73,30.6205,17911210,0.0,1.0,-1.4432,CSX
2022-12-20,54.88,55.6,54.59,55.04,54.8005,4526057,0.0,1.0,0.1091,CTSH
2022-12-20,75.005,76.8,74.38,75.98,75.98,3021015,0.0,1.0,-0.092,DDOG
2022-12-20,111.99,114.43,110.21,113.15,113.15,2247323,0.0,1.0,0.8197,DXCM
2022-12-20,133.2,136.19,132.75,134.94,132.234,1668379,0.0,1.0,1.0181,FANG
2022-12-20,139.12,139.87,137.4,139.21,139.21,1967279,0.0,1.0,-0.1506,DLTR
2022-12-20,120.54,122.055,120.34,120.42,120.2141,1181146,0.0,1.0,-0.3063,EA
2022-12-20,41.44,41.47,40.65,40.97,40.7329,4273276,0.0,1.0,-0.895,EBAY
2022-12-20,302.52,310.09,293.2,302.07,302.07,2257382,0.0,1.0,-0.9639,ENPH
2022-12-20,41.78,42.33,41.43,42.06,41.6967,7406610,0.0,1.0,0.6943,EXC
2022-12-20,47.65,47.94,47.405,47.65,47.3308,2709495,0.0,1.0,-0.2094,FAST
2022-12-20,57.49,58.31,57.0,57.59,57.59,1569312,0.0,1.0,-0.8266,GFS
