date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,close_percent_change,company
2023-01-31,223.73,226.53,222.99,225.81,224.5283,2788799,0.0,1.0,1.5561,ADP
2023-01-31,65.04,65.38,64.85,65.37,64.4284,5772846,0.0,1.0,-0.7139,AZN
2023-01-31,30.93,31.88,30.87,31.74,31.5489,5036478,0.0,1.0,2.3211,BKR
2023-01-31,582.07,587.23,580.735,585.01,580.8141,2371907,0.0,1.0,0.6123,AVGO
2023-01-31,287.0,290.97,286.77,290.9,290.9,851929,0.0,1.0,1.7346,BIIB
2023-01-31,115.0,115.59,114.55,115.35,115.35,1237400,0.0,1.0,0.5667,BMRN
2023-01-31,2419.84,2435.99,2403.44,2434.1,2434.1,338098,0.0,1.0,-0.1182,BKNG
2023-01-31,181.36,183.73,180.75,182.83,182.83,1741938,0.0,1.0,1.1564,CDNS
2023-01-31,390.23,393.01,381.94,384.31,384.31,1731694,0.0,1.0,-1.6959,CHTR
2023-01-31,66.4,67.0,66.25,66.61,66.61,1564309,0.0,1.0,0.4827,CPRT
2023-01-31,78.14,78.53,77.4,77.9,77.9,2262236,0.0,1.0,0.0,CSGP
2023-01-31,101.0,105.92,100.74,105.9,105.9,4648306,0.0,1.0,4.4688,CRWD
2023-01-31,437.64,443.96,436.83,443.74,442.5912,438114,0.0,1.0,1.7659,CTAS
2023-01-31,48.12,48.69,48.05,48.67,48.3064,16821701,0.0,1.0,0.9332,CSCO
2023-01-31,39.25,39.4189,39.08,39.35,39.0502,26005940,0.0,1.0,0.2803,CMCSA
2023-01-31,503.23,511.41,502.0,511.14,510.2626,1924081,0.0,1.0,1.5618,COST
2023-01-31,30.12,30.97,30.03,30.92,30.8099,15414052,0.0,1.0,3.4806,CSX
2023-01-31,65.2,66.78,65.07,66.75,66.4596,4195476,0.0,1.0,2.2675,CTSH
2023-01-31,73.97,74.9,72.815,74.81,74.81,3198953,0.0,1.0,1.3137,DDOG
2023-01-31,106.06,107.56,105.74,107.09,107.09,2091063,0.0,1.0,1.5167,DXCM
2023-01-31,145.06,147.605,143.87,146.12,143.1899,1632716,0.0,1.0,0.5367,FANG
2023-01-31,149.04,150.23,147.76,150.18,150.18,1662407,0.0,1.0,0.8935,DLTR
2023-01-31,129.19,129.99,128.38,128.68,128.46,3067678,0.0,1.0,-0.2403,EA
2023-01-31,48.91,49.55,48.795,49.5,49.2135,4325298,0.0,1.0,1.2477,EBAY
2023-01-31,212.17,221.58,212.15,221.38,221.38,4161948,0.0,1.0,4.3163,ENPH
2023-01-31,41.85,42.25,41.61,42.19,41.8256,5133849,0.0,1.0,1.0539,EXC
2023-01-31,49.45,50.59,49.415,50.55,50.2114,4771551,0.0,1.0,2.2658,FAST
2023-01-31,57.42,59.32,56.62,59.28,59.28,1214934,0.0,1.0,3.0777,GFS
2023-01-31,73.97,74.9,72.815,74.81,74.81,3198953,0.0,1.0,1.3137,DDOG
2023-01-31,106.06,107.56,105.74,107.09,107.09,2091063,0.0,1.0,1.5167,DXCM
2023-01-31,145.06,147.605,143.87,146.12,143.1899,1632716,0.0,1.0,0.5367,FANG
2023-01-31,149.04,150.23,147.76,150.18,150.18,1662407,0.0,1.0,0.8935,DLTR
